query,pandas_function_call
Total count for price,df['price'].count()
Find difference in revenue,df['revenue'].diff()
Get summary of score,df['score'].describe()
Find the sum of price,df['price'].sum()
Show frequency distribution for weight,df['weight'].value_counts()
Get MAD of expenses,df['expenses'].mad()
Compute covariance for temperature,df.cov()['temperature']
Get nunique of weight,df['weight'].nunique()
Find the sum of sales,df['sales'].sum()
Show kurtosis of price,df['price'].kurt()
Compute mean for height,df['height'].mean()
Compute running total for sales,df['sales'].cumsum()
Show relationship of height,df.corr()['height']
Find the sum of score,df['score'].sum()
Show highest value for revenue,df['revenue'].max()
Count entries in revenue,df['revenue'].count()
Show statistics for score,df['score'].describe()
Show lowest value for profit,df['profit'].min()
Compute percentile for weight,df['weight'].quantile(0.5)
Compute running total for height,df['height'].cumsum()
Find cumulative max of score,df['score'].cummax()
Compute kurtosis for age,df['age'].kurt()
Compute value counts of score,df['score'].value_counts()
Compute pct change for weight,df['weight'].pct_change()
Find variance of revenue,df['revenue'].var()
Find the median of expenses,df['expenses'].median()
Get the min of temperature,df['temperature'].min()
Compute kurtosis for profit,df['profit'].kurt()
Find kurtosis of score,df['score'].kurt()
Compute running total for price,df['price'].cumsum()
Find mode of temperature,df['temperature'].mode()
Find cumulative min of revenue,df['revenue'].cummin()
Get statistical variance of profit,df['profit'].var()
Calculate sum for revenue,df['revenue'].sum()
Get quantile for profit,df['profit'].quantile(0.5)
Find cumulative product of temperature,df['temperature'].cumprod()
Get variation in revenue,df['revenue'].std()
Compute change for score,df['score'].diff()
Find covariance of profit,df.cov()['profit']
Find skewness of temperature,df['temperature'].skew()
Show lowest value for temperature,df['temperature'].min()
Find correlation with expenses,df.corr()['expenses']
Find minimum of expenses,df['expenses'].min()
Compute std for score,df['score'].std()
Get diff for height,df['height'].diff()
Get most frequent value in score,df['score'].mode()
Show highest value for weight,df['weight'].max()
Find difference in expenses,df['expenses'].diff()
Compute change for age,df['age'].diff()
Find cumulative min of profit,df['profit'].cummin()
Find kurtosis of temperature,df['temperature'].kurt()
Compute mean for profit,df['profit'].mean()
Find value counts of expenses,df['expenses'].value_counts()
Compute value counts of weight,df['weight'].value_counts()
Compute percentile for expenses,df['expenses'].quantile(0.5)
Find minimum of temperature,df['temperature'].min()
Compute covariance for expenses,df.cov()['expenses']
Find mean absolute deviation of profit,df['profit'].mad()
Find mean absolute deviation of score,df['score'].mad()
Count entries in profit,df['profit'].count()
Find standard deviation of score,df['score'].std()
Get cummax for expenses,df['expenses'].cummax()
Find the average of height,df['height'].mean()
Compute mode for weight,df['weight'].mode()
Show distinct entries for age,df['age'].unique()
Compute running min for price,df['price'].cummin()
Find kurtosis of profit,df['profit'].kurt()
Find percentage change in temperature,df['temperature'].pct_change()
Get cumsum for sales,df['sales'].cumsum()
Show percent change of price,df['price'].pct_change()
Find covariance of profit,df.cov()['profit']
Find mean absolute deviation of revenue,df['revenue'].mad()
Compute value counts of price,df['price'].value_counts()
Show skew value for score,df['score'].skew()
Compute mode for score,df['score'].mode()
Get quantile for score,df['score'].quantile(0.5)
Get the min of weight,df['weight'].min()
Find cumulative product of age,df['age'].cumprod()
Find skewness of weight,df['weight'].skew()
Compute variance for age,df['age'].var()
Find unique values in height,df['height'].unique()
Get total of profit,df['profit'].sum()
Show distinct entries for revenue,df['revenue'].unique()
Find cumulative product of revenue,df['revenue'].cumprod()
Find the average of expenses,df['expenses'].mean()
Compute value counts of score,df['score'].value_counts()
Find mean absolute deviation of revenue,df['revenue'].mad()
Compute skew for sales,df['sales'].skew()
Count entries in sales,df['sales'].count()
Get total of score,df['score'].sum()
Get diff for weight,df['weight'].diff()
Find percentage change in score,df['score'].pct_change()
Find skewness of score,df['score'].skew()
Find cumulative min of height,df['height'].cummin()
Count entries in temperature,df['temperature'].count()
Find correlation with profit,df.corr()['profit']
Get total of weight,df['weight'].sum()
Compute std for score,df['score'].std()
Compute pct change for price,df['price'].pct_change()
Get summary of price,df['price'].describe()
Compute change for revenue,df['revenue'].diff()
Find cumulative max of temperature,df['temperature'].cummax()
Find median quantile of expenses,df['expenses'].quantile(0.5)
Show relationship of profit,df.corr()['profit']
Show mean of age,df['age'].mean()
Get cummax for price,df['price'].cummax()
Show percent change of temperature,df['temperature'].pct_change()
Get cummin for age,df['age'].cummin()
Find minimum of sales,df['sales'].min()
Show mean of price,df['price'].mean()
Compute value counts of profit,df['profit'].value_counts()
Count entries in expenses,df['expenses'].count()
Compute running max for sales,df['sales'].cummax()
Find covariance of expenses,df.cov()['expenses']
Find maximum of temperature,df['temperature'].max()
Show mean of sales,df['sales'].mean()
Find correlation with height,df.corr()['height']
Get the max of age,df['age'].max()
Describe values of height,df['height'].describe()
Find percentage change in revenue,df['revenue'].pct_change()
Find cumulative product of weight,df['weight'].cumprod()
Find number of records for age,df['age'].count()
Get the max of score,df['score'].max()
Show lowest value for temperature,df['temperature'].min()
Get variation in revenue,df['revenue'].std()
Compute std for profit,df['profit'].std()
Compute mean for age,df['age'].mean()
Get the min of revenue,df['revenue'].min()
Compute correlation for score,df.corr()['score']
Get unique values of profit,df['profit'].unique()
Compute running min for sales,df['sales'].cummin()
Find maximum of age,df['age'].max()
Compute MAD for profit,df['profit'].mad()
Find standard deviation of weight,df['weight'].std()
Show lowest value for revenue,df['revenue'].min()
Find minimum of temperature,df['temperature'].min()
Find standard deviation of sales,df['sales'].std()
Get nunique of height,df['height'].nunique()
Get statistical variance of expenses,df['expenses'].var()
Compute value counts of age,df['age'].value_counts()
Count entries in height,df['height'].count()
Find skewness of price,df['price'].skew()
Compute percentile for weight,df['weight'].quantile(0.5)
Find the average of profit,df['profit'].mean()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Find covariance of profit,df.cov()['profit']
Find standard deviation of age,df['age'].std()
Total count for score,df['score'].count()
Get total of price,df['price'].sum()
Compute value counts of price,df['price'].value_counts()
Total count for revenue,df['revenue'].count()
Get middle value of age,df['age'].median()
Get statistical variance of score,df['score'].var()
Get nunique of temperature,df['temperature'].nunique()
Get unique values of profit,df['profit'].unique()
Find minimum of sales,df['sales'].min()
Find cumulative max of expenses,df['expenses'].cummax()
Compute running product for weight,df['weight'].cumprod()
Get diff for height,df['height'].diff()
Get MAD of age,df['age'].mad()
Calculate sum for revenue,df['revenue'].sum()
Get cumprod for sales,df['sales'].cumprod()
Find cumulative product of price,df['price'].cumprod()
Get statistical variance of temperature,df['temperature'].var()
Compute running product for revenue,df['revenue'].cumprod()
Find cumulative min of price,df['price'].cummin()
Find difference in weight,df['weight'].diff()
Compute std for profit,df['profit'].std()
Find value counts of profit,df['profit'].value_counts()
Describe values of score,df['score'].describe()
Get diff for revenue,df['revenue'].diff()
Compute mode for height,df['height'].mode()
Find the average of profit,df['profit'].mean()
Compute running product for profit,df['profit'].cumprod()
Compute kurtosis for weight,df['weight'].kurt()
Show statistics for expenses,df['expenses'].describe()
Get total of profit,df['profit'].sum()
Find mean absolute deviation of score,df['score'].mad()
Get MAD of score,df['score'].mad()
Compute skew for temperature,df['temperature'].skew()
Get nunique of score,df['score'].nunique()
Find the average of price,df['price'].mean()
Get the max of revenue,df['revenue'].max()
Show relationship of height,df.corr()['height']
Get middle value of height,df['height'].median()
Find kurtosis of age,df['age'].kurt()
Find the average of age,df['age'].mean()
Get cumprod for height,df['height'].cumprod()
Compute kurtosis for sales,df['sales'].kurt()
Describe values of temperature,df['temperature'].describe()
Compute mean for expenses,df['expenses'].mean()
Show lowest value for price,df['price'].min()
Get statistical variance of expenses,df['expenses'].var()
Find difference in score,df['score'].diff()
Compute running product for revenue,df['revenue'].cumprod()
Find number of records for score,df['score'].count()
Compute std for sales,df['sales'].std()
Find variance of profit,df['profit'].var()
Compute kurtosis for score,df['score'].kurt()
Get nunique of sales,df['sales'].nunique()
Find cumulative sum of expenses,df['expenses'].cumsum()
Get statistical variance of temperature,df['temperature'].var()
Compute skew for height,df['height'].skew()
Find value counts of temperature,df['temperature'].value_counts()
Find number of records for weight,df['weight'].count()
Find kurtosis of age,df['age'].kurt()
Find cumulative sum of price,df['price'].cumsum()
Get total of score,df['score'].sum()
Show highest value for score,df['score'].max()
Total count for age,df['age'].count()
Show percent change of revenue,df['revenue'].pct_change()
Find the sum of temperature,df['temperature'].sum()
Get cummax for sales,df['sales'].cummax()
Find the median of weight,df['weight'].median()
Get MAD of price,df['price'].mad()
Get total of profit,df['profit'].sum()
Find cumulative product of sales,df['sales'].cumprod()
Show kurtosis of sales,df['sales'].kurt()
Show relationship of age,df.corr()['age']
Compute running product for weight,df['weight'].cumprod()
Find mode of revenue,df['revenue'].mode()
Find skewness of age,df['age'].skew()
Get cummin for sales,df['sales'].cummin()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Show mean of expenses,df['expenses'].mean()
Describe values of expenses,df['expenses'].describe()
Find percentage change in score,df['score'].pct_change()
Get unique values of profit,df['profit'].unique()
Compute MAD for price,df['price'].mad()
Find standard deviation of score,df['score'].std()
Compute kurtosis for expenses,df['expenses'].kurt()
Get statistical variance of sales,df['sales'].var()
Find maximum of weight,df['weight'].max()
Get cummin for price,df['price'].cummin()
Find unique values in sales,df['sales'].unique()
Compute mode for sales,df['sales'].mode()
Find difference in age,df['age'].diff()
Compute variance for score,df['score'].var()
Find mean absolute deviation of weight,df['weight'].mad()
Find cumulative max of score,df['score'].cummax()
Get cummax for height,df['height'].cummax()
Show statistics for expenses,df['expenses'].describe()
Find difference in score,df['score'].diff()
Show mean of temperature,df['temperature'].mean()
Get summary of temperature,df['temperature'].describe()
Find median quantile of height,df['height'].quantile(0.5)
Find mode of sales,df['sales'].mode()
Show skew value for expenses,df['expenses'].skew()
Find covariance of age,df.cov()['age']
Show statistics for temperature,df['temperature'].describe()
Find standard deviation of weight,df['weight'].std()
Get cumprod for age,df['age'].cumprod()
Find cumulative max of temperature,df['temperature'].cummax()
Find median quantile of revenue,df['revenue'].quantile(0.5)
Compute median for age,df['age'].median()
Show percent change of sales,df['sales'].pct_change()
Get MAD of sales,df['sales'].mad()
Find cumulative max of score,df['score'].cummax()
Show skew value for height,df['height'].skew()
Find mean absolute deviation of score,df['score'].mad()
Get diff for score,df['score'].diff()
Compute running min for age,df['age'].cummin()
Count unique entries for temperature,df['temperature'].nunique()
Compute std for weight,df['weight'].std()
Find percentage change in weight,df['weight'].pct_change()
Find correlation with weight,df.corr()['weight']
Compute running min for score,df['score'].cummin()
Get the min of temperature,df['temperature'].min()
Compute median for score,df['score'].median()
Show percent change of price,df['price'].pct_change()
Find maximum of profit,df['profit'].max()
Compute mode for expenses,df['expenses'].mode()
Get diff for score,df['score'].diff()
Compute running max for age,df['age'].cummax()
Find covariance of weight,df.cov()['weight']
Find the average of sales,df['sales'].mean()
Get cummin for revenue,df['revenue'].cummin()
Calculate sum for profit,df['profit'].sum()
Find correlation with score,df.corr()['score']
Get summary of score,df['score'].describe()
Show distinct entries for temperature,df['temperature'].unique()
Find skewness of revenue,df['revenue'].skew()
Compute mean for age,df['age'].mean()
Find maximum of price,df['price'].max()
Find skewness of age,df['age'].skew()
Find kurtosis of age,df['age'].kurt()
Compute running product for age,df['age'].cumprod()
Get cumsum for height,df['height'].cumsum()
Find maximum of weight,df['weight'].max()
Show distinct entries for sales,df['sales'].unique()
Find difference in score,df['score'].diff()
Find the median of profit,df['profit'].median()
Find cumulative product of age,df['age'].cumprod()
Find covariance of score,df.cov()['score']
Find standard deviation of revenue,df['revenue'].std()
Compute change for profit,df['profit'].diff()
Get middle value of height,df['height'].median()
Show kurtosis of age,df['age'].kurt()
Compute covariance for revenue,df.cov()['revenue']
Show frequency distribution for expenses,df['expenses'].value_counts()
Get cummax for weight,df['weight'].cummax()
Compute mean for expenses,df['expenses'].mean()
Get total of score,df['score'].sum()
Show highest value for sales,df['sales'].max()
Find variance of expenses,df['expenses'].var()
Show lowest value for temperature,df['temperature'].min()
Show covariance of height,df.cov()['height']
Total count for weight,df['weight'].count()
Compute median for score,df['score'].median()
Show mean of revenue,df['revenue'].mean()
Get most frequent value in revenue,df['revenue'].mode()
Get diff for height,df['height'].diff()
Compute covariance for price,df.cov()['price']
Compute MAD for age,df['age'].mad()
Find correlation with weight,df.corr()['weight']
Find cumulative sum of revenue,df['revenue'].cumsum()
Get statistical variance of revenue,df['revenue'].var()
Show lowest value for height,df['height'].min()
Compute percentile for height,df['height'].quantile(0.5)
Find percentage change in price,df['price'].pct_change()
Find cumulative sum of profit,df['profit'].cumsum()
Compute pct change for price,df['price'].pct_change()
Show skew value for expenses,df['expenses'].skew()
Show mean of weight,df['weight'].mean()
Find correlation with age,df.corr()['age']
Find maximum of weight,df['weight'].max()
Find median quantile of expenses,df['expenses'].quantile(0.5)
Find mode of revenue,df['revenue'].mode()
Compute mean for price,df['price'].mean()
Compute running min for price,df['price'].cummin()
Compute skew for revenue,df['revenue'].skew()
Show frequency distribution for profit,df['profit'].value_counts()
Find correlation with height,df.corr()['height']
Show distinct entries for temperature,df['temperature'].unique()
Total count for sales,df['sales'].count()
Compute running total for profit,df['profit'].cumsum()
Compute std for sales,df['sales'].std()
Show distinct entries for score,df['score'].unique()
Find the median of weight,df['weight'].median()
Find maximum of age,df['age'].max()
Show mean of score,df['score'].mean()
Compute mean for profit,df['profit'].mean()
Show distinct entries for revenue,df['revenue'].unique()
Get the min of price,df['price'].min()
Find number of unique values in expenses,df['expenses'].nunique()
Find minimum of age,df['age'].min()
Compute MAD for score,df['score'].mad()
Compute std for weight,df['weight'].std()
Find cumulative sum of height,df['height'].cumsum()
Compute value counts of height,df['height'].value_counts()
Compute covariance for weight,df.cov()['weight']
Compute percentile for revenue,df['revenue'].quantile(0.5)
Get nunique of expenses,df['expenses'].nunique()
Show frequency distribution for sales,df['sales'].value_counts()
Compute pct change for expenses,df['expenses'].pct_change()
Find mode of revenue,df['revenue'].mode()
Get the min of sales,df['sales'].min()
Compute correlation for sales,df.corr()['sales']
Find the average of price,df['price'].mean()
Find the median of sales,df['sales'].median()
Compute pct change for revenue,df['revenue'].pct_change()
Show relationship of profit,df.corr()['profit']
Get diff for price,df['price'].diff()
Get summary of sales,df['sales'].describe()
Find number of unique values in temperature,df['temperature'].nunique()
Find variance of expenses,df['expenses'].var()
Compute median for price,df['price'].median()
Find number of unique values in score,df['score'].nunique()
Get cummin for age,df['age'].cummin()
Find correlation with revenue,df.corr()['revenue']
Total count for profit,df['profit'].count()
Get middle value of profit,df['profit'].median()
Find variance of price,df['price'].var()
Compute skew for sales,df['sales'].skew()
Show statistics for profit,df['profit'].describe()
Show lowest value for height,df['height'].min()
Show highest value for expenses,df['expenses'].max()
Find variance of score,df['score'].var()
Find unique values in temperature,df['temperature'].unique()
Find cumulative sum of score,df['score'].cumsum()
Calculate sum for profit,df['profit'].sum()
Find skewness of price,df['price'].skew()
Show lowest value for weight,df['weight'].min()
Show kurtosis of expenses,df['expenses'].kurt()
Count unique entries for sales,df['sales'].nunique()
Count entries in expenses,df['expenses'].count()
Total count for height,df['height'].count()
Get unique values of revenue,df['revenue'].unique()
Describe values of weight,df['weight'].describe()
Find mode of temperature,df['temperature'].mode()
Show frequency distribution for height,df['height'].value_counts()
Compute mean for price,df['price'].mean()
Find mean absolute deviation of revenue,df['revenue'].mad()
Find the sum of revenue,df['revenue'].sum()
Find the average of price,df['price'].mean()
Find cumulative product of temperature,df['temperature'].cumprod()
Find minimum of weight,df['weight'].min()
Compute value counts of score,df['score'].value_counts()
Get cummin for sales,df['sales'].cummin()
Get MAD of score,df['score'].mad()
Show relationship of age,df.corr()['age']
Compute running max for temperature,df['temperature'].cummax()
Compute change for weight,df['weight'].diff()
Compute mode for score,df['score'].mode()
Find variance of temperature,df['temperature'].var()
Find minimum of price,df['price'].min()
Get cummin for revenue,df['revenue'].cummin()
Show mean of price,df['price'].mean()
Find kurtosis of profit,df['profit'].kurt()
Count unique entries for weight,df['weight'].nunique()
Compute pct change for price,df['price'].pct_change()
Find cumulative product of age,df['age'].cumprod()
Count unique entries for score,df['score'].nunique()
Show distinct entries for weight,df['weight'].unique()
Show frequency distribution for price,df['price'].value_counts()
Compute running product for score,df['score'].cumprod()
Compute skew for expenses,df['expenses'].skew()
Get cumprod for temperature,df['temperature'].cumprod()
Compute correlation for age,df.corr()['age']
Find cumulative sum of revenue,df['revenue'].cumsum()
Describe values of sales,df['sales'].describe()
Get cummin for profit,df['profit'].cummin()
Get summary of revenue,df['revenue'].describe()
Find correlation with profit,df.corr()['profit']
Get the min of sales,df['sales'].min()
Find minimum of profit,df['profit'].min()
Get cummax for price,df['price'].cummax()
Get most frequent value in temperature,df['temperature'].mode()
Show mean of expenses,df['expenses'].mean()
Find median quantile of weight,df['weight'].quantile(0.5)
Find the median of temperature,df['temperature'].median()
Find cumulative sum of expenses,df['expenses'].cumsum()
Show lowest value for profit,df['profit'].min()
Get variation in age,df['age'].std()
Compute MAD for score,df['score'].mad()
Calculate sum for sales,df['sales'].sum()
Compute MAD for height,df['height'].mad()
Compute std for price,df['price'].std()
Show covariance of revenue,df.cov()['revenue']
Get nunique of temperature,df['temperature'].nunique()
Find difference in age,df['age'].diff()
Show relationship of sales,df.corr()['sales']
Find number of records for expenses,df['expenses'].count()
Describe values of expenses,df['expenses'].describe()
Find value counts of score,df['score'].value_counts()
Get most frequent value in profit,df['profit'].mode()
Find mean absolute deviation of weight,df['weight'].mad()
Find mode of temperature,df['temperature'].mode()
Get middle value of price,df['price'].median()
Compute covariance for revenue,df.cov()['revenue']
Find mean absolute deviation of temperature,df['temperature'].mad()
Compute change for temperature,df['temperature'].diff()
Find number of records for height,df['height'].count()
Find number of unique values in age,df['age'].nunique()
Find unique values in price,df['price'].unique()
Compute kurtosis for score,df['score'].kurt()
Get statistical variance of score,df['score'].var()
Find correlation with age,df.corr()['age']
Compute skew for profit,df['profit'].skew()
Get unique values of temperature,df['temperature'].unique()
Compute correlation for height,df.corr()['height']
Get the max of profit,df['profit'].max()
Find kurtosis of weight,df['weight'].kurt()
Show frequency distribution for age,df['age'].value_counts()
Count unique entries for profit,df['profit'].nunique()
Compute value counts of expenses,df['expenses'].value_counts()
Find difference in age,df['age'].diff()
Compute covariance for expenses,df.cov()['expenses']
Calculate sum for height,df['height'].sum()
Get most frequent value in age,df['age'].mode()
Compute running min for temperature,df['temperature'].cummin()
Find unique values in profit,df['profit'].unique()
Find median quantile of score,df['score'].quantile(0.5)
Count unique entries for height,df['height'].nunique()
Get the max of revenue,df['revenue'].max()
Total count for age,df['age'].count()
Compute pct change for age,df['age'].pct_change()
Get middle value of profit,df['profit'].median()
Compute running product for temperature,df['temperature'].cumprod()
Find the median of revenue,df['revenue'].median()
Get statistical variance of revenue,df['revenue'].var()
Compute pct change for height,df['height'].pct_change()
Find kurtosis of temperature,df['temperature'].kurt()
Compute running total for score,df['score'].cumsum()
Compute mean for expenses,df['expenses'].mean()
Find unique values in score,df['score'].unique()
Show kurtosis of price,df['price'].kurt()
Get statistical variance of price,df['price'].var()
Get diff for revenue,df['revenue'].diff()
Get summary of revenue,df['revenue'].describe()
Get unique values of temperature,df['temperature'].unique()
Get cummin for weight,df['weight'].cummin()
Get most frequent value in profit,df['profit'].mode()
Get cumprod for price,df['price'].cumprod()
Find minimum of revenue,df['revenue'].min()
Find mean absolute deviation of weight,df['weight'].mad()
Find the average of sales,df['sales'].mean()
Compute value counts of profit,df['profit'].value_counts()
Find cumulative max of expenses,df['expenses'].cummax()
Total count for weight,df['weight'].count()
Find value counts of profit,df['profit'].value_counts()
Compute covariance for height,df.cov()['height']
Compute change for weight,df['weight'].diff()
Calculate sum for weight,df['weight'].sum()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Get middle value of score,df['score'].median()
Find percentage change in expenses,df['expenses'].pct_change()
Find cumulative sum of temperature,df['temperature'].cumsum()
Get MAD of weight,df['weight'].mad()
Describe values of weight,df['weight'].describe()
Compute std for price,df['price'].std()
Get middle value of revenue,df['revenue'].median()
Find value counts of height,df['height'].value_counts()
Get MAD of revenue,df['revenue'].mad()
Total count for price,df['price'].count()
Find minimum of age,df['age'].min()
Find difference in age,df['age'].diff()
Count entries in sales,df['sales'].count()
Find number of unique values in score,df['score'].nunique()
Find percentage change in expenses,df['expenses'].pct_change()
Compute running min for profit,df['profit'].cummin()
Get the max of price,df['price'].max()
Get MAD of weight,df['weight'].mad()
Get variation in age,df['age'].std()
Compute kurtosis for expenses,df['expenses'].kurt()
Show frequency distribution for weight,df['weight'].value_counts()
Find cumulative max of score,df['score'].cummax()
Show highest value for price,df['price'].max()
Get cumsum for age,df['age'].cumsum()
Find kurtosis of price,df['price'].kurt()
Get cumprod for score,df['score'].cumprod()
Compute MAD for profit,df['profit'].mad()
Describe values of temperature,df['temperature'].describe()
Find cumulative min of revenue,df['revenue'].cummin()
Find correlation with weight,df.corr()['weight']
Get the max of score,df['score'].max()
Compute correlation for revenue,df.corr()['revenue']
Show skew value for score,df['score'].skew()
Total count for expenses,df['expenses'].count()
Find cumulative sum of expenses,df['expenses'].cumsum()
Get statistical variance of age,df['age'].var()
Total count for profit,df['profit'].count()
Find number of unique values in expenses,df['expenses'].nunique()
Get cummin for weight,df['weight'].cummin()
Show statistics for age,df['age'].describe()
Compute percentile for revenue,df['revenue'].quantile(0.5)
Show skew value for profit,df['profit'].skew()
Find unique values in age,df['age'].unique()
Find median quantile of height,df['height'].quantile(0.5)
Get variation in expenses,df['expenses'].std()
Compute value counts of revenue,df['revenue'].value_counts()
Find cumulative min of score,df['score'].cummin()
Show mean of height,df['height'].mean()
Compute MAD for revenue,df['revenue'].mad()
Show distinct entries for price,df['price'].unique()
Get the min of age,df['age'].min()
Show statistics for profit,df['profit'].describe()
Show relationship of height,df.corr()['height']
Find covariance of age,df.cov()['age']
Find variance of revenue,df['revenue'].var()
Find number of unique values in price,df['price'].nunique()
Compute covariance for height,df.cov()['height']
Show percent change of weight,df['weight'].pct_change()
Describe values of profit,df['profit'].describe()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Find the median of age,df['age'].median()
Count unique entries for weight,df['weight'].nunique()
Compute kurtosis for expenses,df['expenses'].kurt()
Find value counts of score,df['score'].value_counts()
Find number of unique values in age,df['age'].nunique()
Compute variance for temperature,df['temperature'].var()
Get summary of height,df['height'].describe()
Compute correlation for temperature,df.corr()['temperature']
Find unique values in sales,df['sales'].unique()
Compute running max for weight,df['weight'].cummax()
Compute value counts of temperature,df['temperature'].value_counts()
Find the sum of score,df['score'].sum()
Find correlation with score,df.corr()['score']
Compute change for score,df['score'].diff()
Compute change for score,df['score'].diff()
Show skew value for profit,df['profit'].skew()
Show kurtosis of age,df['age'].kurt()
Show lowest value for age,df['age'].min()
Find maximum of expenses,df['expenses'].max()
Find the sum of sales,df['sales'].sum()
Find cumulative min of height,df['height'].cummin()
Describe values of age,df['age'].describe()
Find covariance of score,df.cov()['score']
Find unique values in age,df['age'].unique()
Find correlation with expenses,df.corr()['expenses']
Describe values of price,df['price'].describe()
Get middle value of price,df['price'].median()
Find cumulative product of profit,df['profit'].cumprod()
Find number of records for expenses,df['expenses'].count()
Find the average of profit,df['profit'].mean()
Find number of records for age,df['age'].count()
Find the sum of sales,df['sales'].sum()
Find percentage change in score,df['score'].pct_change()
Get most frequent value in temperature,df['temperature'].mode()
Compute correlation for age,df.corr()['age']
Compute value counts of age,df['age'].value_counts()
Show frequency distribution for profit,df['profit'].value_counts()
Get cumsum for weight,df['weight'].cumsum()
Show mean of age,df['age'].mean()
Get middle value of sales,df['sales'].median()
Find covariance of temperature,df.cov()['temperature']
Show kurtosis of height,df['height'].kurt()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Calculate sum for temperature,df['temperature'].sum()
Find the average of age,df['age'].mean()
Get the max of sales,df['sales'].max()
Get the min of temperature,df['temperature'].min()
Describe values of revenue,df['revenue'].describe()
Get total of expenses,df['expenses'].sum()
Get diff for sales,df['sales'].diff()
Find cumulative sum of height,df['height'].cumsum()
Compute value counts of weight,df['weight'].value_counts()
Find the sum of height,df['height'].sum()
Compute running product for weight,df['weight'].cumprod()
Compute value counts of weight,df['weight'].value_counts()
Compute running product for sales,df['sales'].cumprod()
Find cumulative product of score,df['score'].cumprod()
Compute running total for score,df['score'].cumsum()
Find number of records for sales,df['sales'].count()
Show relationship of height,df.corr()['height']
Compute change for height,df['height'].diff()
Get cumsum for height,df['height'].cumsum()
Get the max of sales,df['sales'].max()
Show relationship of weight,df.corr()['weight']
Get the max of profit,df['profit'].max()
Show statistics for score,df['score'].describe()
Total count for age,df['age'].count()
Compute skew for temperature,df['temperature'].skew()
Total count for score,df['score'].count()
Get middle value of revenue,df['revenue'].median()
Get statistical variance of height,df['height'].var()
Find mean absolute deviation of height,df['height'].mad()
Calculate sum for price,df['price'].sum()
Show highest value for score,df['score'].max()
Show lowest value for weight,df['weight'].min()
Show skew value for price,df['price'].skew()
Show skew value for price,df['price'].skew()
Show relationship of height,df.corr()['height']
Get middle value of revenue,df['revenue'].median()
Find skewness of weight,df['weight'].skew()
Compute mean for height,df['height'].mean()
Find skewness of expenses,df['expenses'].skew()
Show relationship of price,df.corr()['price']
Compute percentile for score,df['score'].quantile(0.5)
Find covariance of height,df.cov()['height']
Compute percentile for score,df['score'].quantile(0.5)
Show relationship of revenue,df.corr()['revenue']
Find covariance of revenue,df.cov()['revenue']
Show covariance of expenses,df.cov()['expenses']
Find mean absolute deviation of expenses,df['expenses'].mad()
Show distinct entries for age,df['age'].unique()
Total count for sales,df['sales'].count()
Compute value counts of score,df['score'].value_counts()
Show frequency distribution for revenue,df['revenue'].value_counts()
Show lowest value for profit,df['profit'].min()
Find unique values in sales,df['sales'].unique()
Find percentage change in revenue,df['revenue'].pct_change()
Show skew value for profit,df['profit'].skew()
Compute mode for height,df['height'].mode()
Compute mode for temperature,df['temperature'].mode()
Count unique entries for score,df['score'].nunique()
Get cumprod for height,df['height'].cumprod()
Find cumulative product of age,df['age'].cumprod()
Compute correlation for temperature,df.corr()['temperature']
Show lowest value for temperature,df['temperature'].min()
Get MAD of temperature,df['temperature'].mad()
Find mode of age,df['age'].mode()
Get summary of profit,df['profit'].describe()
Find correlation with price,df.corr()['price']
Find cumulative max of revenue,df['revenue'].cummax()
Find covariance of temperature,df.cov()['temperature']
Compute mean for age,df['age'].mean()
Compute kurtosis for score,df['score'].kurt()
Compute correlation for revenue,df.corr()['revenue']
Find standard deviation of price,df['price'].std()
Get summary of sales,df['sales'].describe()
Find covariance of profit,df.cov()['profit']
Find the sum of revenue,df['revenue'].sum()
Get the max of temperature,df['temperature'].max()
Find the average of sales,df['sales'].mean()
Show relationship of weight,df.corr()['weight']
Get the min of expenses,df['expenses'].min()
Find difference in expenses,df['expenses'].diff()
Get cumprod for temperature,df['temperature'].cumprod()
Compute percentile for sales,df['sales'].quantile(0.5)
Find unique values in temperature,df['temperature'].unique()
Show skew value for age,df['age'].skew()
Calculate sum for age,df['age'].sum()
Get unique values of score,df['score'].unique()
Get quantile for revenue,df['revenue'].quantile(0.5)
Find standard deviation of sales,df['sales'].std()
Compute variance for revenue,df['revenue'].var()
Get middle value of expenses,df['expenses'].median()
Get the max of profit,df['profit'].max()
Get total of temperature,df['temperature'].sum()
Get variation in price,df['price'].std()
Get total of price,df['price'].sum()
Get middle value of age,df['age'].median()
Compute median for profit,df['profit'].median()
Get cumsum for revenue,df['revenue'].cumsum()
Compute MAD for temperature,df['temperature'].mad()
Count entries in revenue,df['revenue'].count()
Find number of records for revenue,df['revenue'].count()
Find percentage change in profit,df['profit'].pct_change()
Find cumulative product of temperature,df['temperature'].cumprod()
Find cumulative min of score,df['score'].cummin()
Find the average of price,df['price'].mean()
Get most frequent value in age,df['age'].mode()
Find covariance of weight,df.cov()['weight']
Find the average of revenue,df['revenue'].mean()
Compute variance for height,df['height'].var()
